Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)",ME1 (ME đã bao gồm thuế + phí)
30/08/2020,FB,TungTran,CVS,"2,146,090","18,159","14,698",126,5,13,0,18,13,"6,465,304",0,"119,227",0.72,"118,183","17,032","165,084","2,317,777"
30/08/2020,FB,YenNguyen02,CVS,0,0,0,0,0,0,0,4,2,"998,000",0,0,0.5,0,0,0,0
30/08/2020,Google,TienTran,Search,"628,632","3,935",0,141,0,0,0,4,3,"1,475,304",0,"157,158",0.75,"159,754","4,458",0,"628,632"
30/08/2020,Google,TienTran,Discovery,"367,494","21,405",0,799,0,0,0,0,0,0,0,0,0,"17,169",460,0,"367,494"
30/08/2020,Google,TienTran,PerMax,"155,952","9,197",0,74,0,0,0,1,1,"499,000",0,"155,952",1,"16,957","2,107",0,"155,952"
30/08/2020,Google,TienTran,Guu-Search,"24,886",349,0,6,0,0,0,0,0,0,0,0,0,"71,307","4,148",0,"24,886"
30/08/2020,Google,TienTran,Guu-Discovery,"130,870","6,624",0,259,0,0,0,2,1,"499,000",0,"65,435",0.5,"19,757",505,0,"130,870"
30/08/2020,Google,TienTran,Guu-PerMax,"168,786","6,691",0,62,0,0,0,3,3,"1,497,000",0,"56,262",1,"25,226","2,722",0,"168,786"
30/08/2020,Google,DucVu,Brand,"107,709","4,560",0,54,0,0,0,0,0,0,0,0,0,"23,620","1,995",0,"107,709"
31/08/2020,FB,DucVu,CVS,"26,582,840",0,0,0,0,0,0,153,118,"61,119,261",0,"173,744",0.77,0,0,0,"28,709,467"
31/08/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,4,1,"499,000","499,000",0,0.25,0,0,0,0
31/08/2020,FB,DucVu,Brand,"854,196","177,365","144,096",55,1,2,0,0,0,0,0,0,0,"4,816","15,531","427,098","922,532"
31/08/2020,FB,NgocNgo,CVS,0,0,0,0,0,0,0,4,3,"1,475,304",0,0,0.75,0,0,0,0
31/08/2020,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2020,FB,GiangPhan,CVS,"979,122","4,955","4,481",5,2,1,0,9,6,"2,972,304",0,"108,791",0.67,"197,603","195,824","979,122","1,057,452"
31/08/2020,FB,TungTran,CVS,"2,165,842","18,843","15,689",38,4,13,0,12,9,"4,542,957",0,"180,487",0.75,"114,941","56,996","166,603","2,339,109"
31/08/2020,FB,YenNguyen02,CVS,"279,414","2,792","2,606",7,0,0,0,1,0,0,0,"279,414",0,"100,077","39,916",0,"301,767"
31/08/2020,Google,TienTran,Search,"485,546","3,791",0,146,0,0,0,3,2,"976,304",0,"161,849",0.67,"128,079","3,326",0,"485,546"
31/08/2020,Google,TienTran,Discovery,"268,122","21,260",0,771,0,0,0,8,7,"3,493,000",0,"33,515",0.88,"12,612",348,0,"268,122"
31/08/2020,Google,TienTran,PerMax,"171,390","7,426",0,61,0,0,0,0,0,0,0,0,0,"23,080","2,810",0,"171,390"
31/08/2020,Google,TienTran,Guu-Search,"27,202",296,0,14,0,0,0,0,0,0,0,0,0,"91,899","1,943",0,"27,202"
31/08/2020,Google,TienTran,Guu-Discovery,"127,760","7,923",0,288,0,0,0,2,1,"499,000",0,"63,880",0.5,"16,125",444,0,"127,760"
31/08/2020,Google,TienTran,Guu-PerMax,"201,336","6,121",0,77,0,0,0,2,2,"976,304",0,"100,668",1,"32,893","2,615",0,"201,336"
31/08/2020,Google,DucVu,Brand,"100,464","4,289",0,39,0,0,0,0,0,0,0,0,0,"23,424","2,576",0,"100,464"
01/09/2020,FB,DucVu,CVS,"15,291,132",0,0,0,0,0,0,115,88,"43,577,696","38,423,000","132,966",0.77,0,0,0,"16,514,423"
01/09/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2020,FB,DucVu,Brand,"841,572","207,530","164,066",58,1,1,0,0,0,0,0,0,0,"4,055","14,510","841,572","908,898"
01/09/2020,FB,NgocNgo,CVS,0,0,0,0,0,0,0,2,1,"499,000","499,000",0,0.5,0,0,0,0
01/09/2020,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2020,FB,GiangPhan,CVS,"930,912","6,847","6,373",9,2,4,0,4,4,"1,996,000","1,996,000","232,728",1,"135,959","103,435","232,728","1,005,385"
01/09/2020,FB,TungTran,CVS,"1,972,620","20,712","17,480",121,8,13,0,20,17,"8,461,304","7,984,000","98,631",0.85,"95,240","16,303","151,740","2,130,430"
01/09/2020,FB,YenNguyen02,CVS,"223,670","2,310","2,178",4,1,0,0,2,1,"499,000","499,000","111,835",0.5,"96,827","55,918",0,"241,564"
01/09/2020,Google,TienTran,Search,"274,739","3,320",0,100,0,0,0,1,1,"499,000","499,000","274,739",1,"82,753","2,747",0,"274,739"
01/09/2020,Google,TienTran,Discovery,"387,574","26,580",0,989,0,0,0,6,5,"2,451,609","1,497,000","64,596",0.83,"14,581",392,0,"387,574"
01/09/2020,Google,TienTran,PerMax,"171,390","12,186",0,117,0,0,0,2,2,"976,304","499,000","85,695",1,"14,065","1,465",0,"171,390"
01/09/2020,Google,TienTran,Guu-Search,"12,749",212,0,8,0,0,0,0,0,0,0,0,0,"60,137","1,594",0,"12,749"
01/09/2020,Google,TienTran,Guu-Discovery,"171,999","11,687",0,390,0,0,0,1,1,"499,000","499,000","171,999",1,"14,717",441,0,"171,999"
01/09/2020,Google,TienTran,Guu-PerMax,"256,361","4,643",0,95,0,0,0,0,0,0,0,0,0,"55,215","2,699",0,"256,361"
01/09/2020,Google,DucVu,Brand,"121,862","5,338",0,70,0,0,0,0,0,0,0,0,0,"22,829","1,741",0,"121,862"
02/09/2020,FB,DucVu,CVS,"15,747,927",0,0,0,0,0,0,149,110,"54,811,783","51,089,000","105,691",0.74,0,0,0,"17,007,761"
02/09/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,FB,DucVu,Brand,"809,590","238,929","186,912",59,0,3,0,0,0,0,0,0,0,"3,388","13,722","269,863","874,357"
02/09/2020,FB,NgocNgo,CVS,0,0,0,0,0,0,0,12,9,"4,469,304","3,992,000",0,0.75,0,0,0,0
02/09/2020,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,FB,GiangPhan,CVS,"1,428,539","9,609","8,302",28,3,2,0,9,8,"3,970,304","2,994,000","158,727",0.89,"148,667","51,019","714,270","1,542,822"
02/09/2020,FB,TungTran,CVS,"1,202,707","13,649","11,596",55,6,12,0,1,1,"499,000","499,000","1,202,707",1,"88,117","21,867","100,226","1,298,924"
02/09/2020,FB,YenNguyen02,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,Google,TienTran,Search,"319,547","3,567",0,115,0,0,0,1,0,0,0,"319,547",0,"89,584","2,779",0,"319,547"
02/09/2020,Google,TienTran,Discovery,"406,125","24,817",0,905,0,0,0,1,1,"477,304",0,"406,125",1,"16,365",449,0,"406,125"
02/09/2020,Google,TienTran,PerMax,"161,015","9,855",0,79,0,0,0,0,0,0,0,0,0,"16,338","2,038",0,"161,015"
02/09/2020,Google,TienTran,Guu-Search,"52,969",331,0,14,0,0,0,0,0,0,0,0,0,"160,027","3,784",0,"52,969"
02/09/2020,Google,TienTran,Guu-Discovery,"164,342","9,994",0,346,0,0,0,3,3,"1,475,304","998,000","54,781",1,"16,444",475,0,"164,342"
02/09/2020,Google,TienTran,Guu-PerMax,"229,246","9,542",0,137,0,0,0,0,0,0,0,0,0,"24,025","1,673",0,"229,246"
02/09/2020,Google,DucVu,Brand,"126,322","5,155",0,88,0,0,0,0,0,0,0,0,0,"24,505","1,435",0,"126,322"
03/09/2020,FB,DucVu,CVS,"20,251,340",0,0,0,0,0,0,132,98,"48,207,739","43,912,000","153,419",0.74,0,0,0,"21,871,447"
03/09/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,FB,DucVu,Brand,"868,292","251,482","198,977",70,0,2,0,0,0,0,0,0,0,"3,453","12,404","434,146","937,755"
03/09/2020,FB,NgocNgo,CVS,0,0,0,0,0,0,0,8,5,"2,495,000","2,495,000",0,0.63,0,0,0,0
03/09/2020,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,FB,GiangPhan,CVS,"1,276,476","6,439","5,578",32,3,4,0,7,7,"3,493,000","3,493,000","182,354",1,"198,241","39,890","319,119","1,378,594"
03/09/2020,FB,TungTran,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,FB,YenNguyen02,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,Google,TienTran,Search,"326,251","3,508",0,107,0,0,0,2,2,"998,000","998,000","163,126",1,"93,002","3,049",0,"326,251"
03/09/2020,Google,TienTran,Discovery,"379,354","20,204",0,840,0,0,0,3,2,"976,304","499,000","126,451",0.67,"18,776",452,0,"379,354"
03/09/2020,Google,TienTran,PerMax,"219,485","8,342",0,58,0,0,0,2,2,"998,000","998,000","109,743",1,"26,311","3,784",0,"219,485"
03/09/2020,Google,TienTran,Guu-Search,"17,424",366,0,10,0,0,0,0,0,0,0,0,0,"47,607","1,742",0,"17,424"
03/09/2020,Google,TienTran,Guu-Discovery,"163,930","9,057",0,358,0,0,0,0,0,0,0,0,0,"18,100",458,0,"163,930"
03/09/2020,Google,TienTran,Guu-PerMax,"202,164","8,778",0,94,0,0,0,1,1,"499,000","499,000","202,164",1,"23,031","2,151",0,"202,164"
03/09/2020,Google,DucVu,Brand,"127,916","5,564",0,68,0,0,0,0,0,0,0,0,0,"22,990","1,881",0,"127,916"
04/09/2020,FB,DucVu,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,"88,918","14,202","179,602","21,918,612"
04/09/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/2020,FB,DucVu,Brand,"856,540","228,690","184,164",54,1,2,0,0,0,0,0,0,0,"3,745","15,862","428,270","925,063"
04/09/2020,FB,NgocNgo,CVS,"20,295,011","228,244","213,286","1,429",145,113,0,154,121,"60,698,130","57,357,000",0,0.79,0,0,0,21798262.46
04/09/2020,FB,NhiLanh,Brand,0,0,0,0,0,0,0,1,1,"477,304",0,0,1,0,0,0,0
04/09/2020,FB,GiangPhan,CVS,"1,319,502","6,535","5,636",28,1,5,0,5,4,"1,996,000","1,996,000","263,900",0.8,"201,913","47,125","263,900","1,425,062"
04/09/2020,FB,TungTran,CVS,"1,698,696","31,802","26,601",124,12,15,0,8,7,"3,493,000","3,493,000","212,337",0.88,"53,415","13,699","113,246","1,834,592"
04/09/2020,FB,YenNguyen02,CVS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
04/09/2020,Google,TienTran,Search,"362,156","3,525",0,123,0,0,0,0,0,0,0,0,0,"102,739","2,944",0,"362,156"
04/09/2020,Google,TienTran,Discovery,"379,354","28,173",0,"1,067",0,0,0,2,2,"998,000","998,000","189,677",1,"13,465",356,0,"379,354"
04/09/2020,Google,TienTran,PerMax,"232,455","12,715",0,116,0,0,0,1,1,"499,000","499,000","232,455",1,"18,282","2,004",0,"232,455"
04/09/2020,Google,TienTran,Guu-Search,"14,304",405,0,6,0,0,0,0,0,0,0,0,0,"35,319","2,384",0,"14,304"
04/09/2020,Google,TienTran,Guu-Discovery,"163,052","10,921",0,391,0,0,0,0,0,0,0,0,0,"14,930",417,0,"163,052"
04/09/2020,Google,TienTran,Guu-PerMax,"235,356","10,774",0,99,0,0,0,1,1,"477,304",0,"235,356",1,"21,845","2,377",0,"235,356"
04/09/2020,Google,DucVu,Brand,"127,370","5,478",0,71,0,0,0,0,0,0,0,0,0,"23,251","1,794",0,"127,370"
